id,description
11,MANAGEMENT OCCUPATIONS
13,BUSINESS AND FINANCIAL OPERATIONS OCCUPATIONS
15,COMPUTER AND MATHEMATICAL OCCUPATIONS
17,ARCHITECTURE AND ENGINEERING OCCUPATIONS
19,"LIFE, PHYSICAL, AND SOCIAL SCIENCE OCCUPATIONS"
21,COMMUNITY AND SOCIAL SERVICES OCCUPATIONS
23,LEGAL OCCUPATIONS
25,"EDUCATION, TRAINING, AND LIBRARY OCCUPATIONS"
27,"ARTS, DESIGN, ENTERTAINMENT, SPORTS, AND MEDIA OCCUPATIONS"
29,HEALTHCARE PRACTITIONERS AND TECHNICAL OCCUPATIONS
31,HEALTHCARE SUPPORT OCCUPATIONS
33,PROTECTIVE SERVICE OCCUPATIONS
35,FOOD PREPARATION AND SERVING RELATED OCCUPATIONS
37,BUILDING AND GROUNDS CLEANING AND MAINTENANCE OCCUPATIONS
39,PERSONAL CARE AND SERVICE OCCUPATIONS
41,SALES AND RELATED OCCUPATIONS
43,OFFICE AND ADMINISTRATIVE SUPPORT OCCUPATIONS
45,"FARMING, FISHING, AND FORESTRY OCCUPATIONS"
47,CONSTRUCTION AND EXTRACTION OCCUPATIONS
49,"INSTALLATION, MAINTENANCE, AND REPAIR OCCUPATIONS"
51,PRODUCTION OCCUPATIONS
53,TRANSPORTATION AND MATERIAL MOVING OCCUPATIONS
55,MILITARY SPECIFIC OCCUPATIONS
97,OTHER (SPECIFY)
98,DK
99,RF
