id,travel_date,day_of_week
101,2009-01-01 00:00:00,Thursday
102,2009-01-02 00:00:00,Friday
105,2009-01-05 00:00:00,Monday
106,2009-01-06 00:00:00,Tuesday
107,2009-01-07 00:00:00,Wednesday
108,2009-01-08 00:00:00,Thursday
109,2008-01-09 00:00:00,Friday
112,2009-01-12 00:00:00,Monday
113,2009-01-13 00:00:00,Tuesday
114,2009-01-14 00:00:00,Wednesday
115,2009-01-15 00:00:00,Thursday
116,2009-01-16 00:00:00,Friday
119,2009-01-19 00:00:00,Monday
120,2009-01-20 00:00:00,Tuesday
121,2009-01-21 00:00:00,Wednesday
122,2009-01-22 00:00:00,Thursday
123,2009-01-23 00:00:00,Friday
126,2009-01-26 00:00:00,Monday
127,2009-01-27 00:00:00,Tuesday
128,2009-01-28 00:00:00,Wednesday
129,2009-01-29 00:00:00,Thursday
130,2009-01-30 00:00:00,Friday
133,2009-02-02 00:00:00,Monday
134,2009-02-03 00:00:00,Tuesday
135,2009-02-04 00:00:00,Wednesday
136,2009-02-05 00:00:00,Thursday
137,2009-02-06 00:00:00,Friday
140,2009-02-09 00:00:00,Monday
141,2009-02-10 00:00:00,Tuesday
142,2009-02-11 00:00:00,Wednesday
143,2009-02-12 00:00:00,Thursday
144,2009-02-13 00:00:00,Friday
147,2009-02-16 00:00:00,Monday
148,2009-02-17 00:00:00,Tuesday
149,2009-02-18 00:00:00,Wednesday
150,2009-02-19 00:00:00,Thursday
151,2009-02-20 00:00:00,Friday
154,2009-02-23 00:00:00,Monday
155,2009-02-24 00:00:00,Tuesday
156,2009-02-25 00:00:00,Wednesday
157,2009-02-26 00:00:00,Thursday
158,2009-02-27 00:00:00,Friday
162,2009-03-02 00:00:00,Monday
163,2009-03-03 00:00:00,Tuesday
164,2009-03-04 00:00:00,Wednesday
165,2009-03-05 00:00:00,Thursday
166,2009-03-06 00:00:00,Friday
169,2009-03-09 00:00:00,Monday
170,2009-03-10 00:00:00,Tuesday
171,2009-03-11 00:00:00,Wednesday
172,2009-03-12 00:00:00,Thursday
173,2009-03-13 00:00:00,Friday
176,2009-03-16 00:00:00,Monday
177,2009-03-17 00:00:00,Tuesday
