id,description
11,ACURA
12,AUDI
13,BMW
57,BUELL
14,BUICK
15,CADILLAC
16,CHEVROLET
17,CHRYSLER
18,DAEWOO
19,DODGE
58,DUCATI
20,FORD
21,GEO
22,GMC
23,HARLEYDAVIDSON
24,HONDA
25,HUMMER
26,HYUNDAI
27,INFINITI
28,ISUZU
29,JAGUAR
30,JEEP
31,KAWASAKI
32,KIA
44,LANDROVER
33,LEXUS
34,LINCOLN
35,MAZDA
36,MERCEDES
37,MERCURY
54,MINI
38,MITSUBISHI
39,NISSAN
40,OLDSMOBILE
41,PLYMOUTH
42,PONTIAC
43,PORSCHE
55,RAM
45,SAAB
46,SATURN
47,SCION
56,SMART
48,SUBARU
49,SUZUKI
50,TOYOTA
59,TRIUMPH
51,VOLKSWAGEN
52,VOLVO
53,YAMAHA
97,OTHER
98,DK
99,RF
62,Unknown
